user_ID, Available_Credit, Total_Travel_Time
U1, 150, 5
U2, 168, 28
U3, 174, 51
U4, 84, 44
U5, 172, 21
U6, 186, 37
U7, 153, 25
U8, 65, 36
U9, 140, 8
U10, 136, 46
U11, 82, 16
U12, 51, 32
U13, 196, 57
U14, 124, 19
U15, 187, 4
U16, 83, 33
U17, 152, 29
U18, 173, 15
U19, 87, 48
U20, 146, 5
U21, 107, 9
U22, 155, 7
U23, 114, 53
U24, 186, 8
U25, 97, 60
U26, 66, 39
U27, 163, 36
U28, 71, 53
U29, 140, 46
U30, 119, 15
U31, 185, 13
U32, 146, 49
U33, 169, 24
U34, 126, 20
U35, 127, 23
U36, 179, 50
U37, 100, 15
U38, 137, 19
U39, 93, 25
U40, 73, 52
U41, 168, 34
U42, 136, 20
U43, 56, 21
U44, 95, 9
U45, 66, 50
U46, 121, 1
U47, 71, 19
U48, 159, 14
U49, 100, 17
U50, 171, 19
U51, 164, 47
U52, 184, 44
U53, 180, 27
U54, 155, 40
U55, 167, 5
U56, 108, 5
U57, 198, 20
U58, 161, 19
U59, 88, 59
U60, 158, 24
U61, 196, 1
U62, 169, 52
U63, 53, 35
U64, 196, 7
U65, 74, 19
U66, 98, 6
U67, 181, 51
U68, 71, 21
U69, 139, 48
U70, 81, 60
U71, 110, 28
U72, 186, 13
U73, 108, 49
U74, 128, 19
U75, 127, 22
U76, 152, 9
U77, 75, 54
U78, 71, 16
U79, 77, 2
U80, 175, 29
U81, 88, 13
U82, 171, 40
U83, 50, 44
U84, 116, 56
U85, 170, 21
U86, 173, 24
U87, 87, 49
U88, 67, 41
U89, 171, 23
U90, 103, 34
U91, 151, 59
U92, 83, 26
U93, 112, 54
U94, 133, 9
U95, 92, 1
U96, 59, 3
U97, 187, 6
U98, 125, 10
U99, 148, 57
U100, 63, 44
